https://www.multpl.com/us-gdp-inflation-adjusted/table/by-quarter
https://apps.bea.gov/iTable/iTable.cfm?reqid=19&step=2#reqid=19&step=2&isuri=1&1921=survey
Table 1.1.6. Real Gross Domestic Product, Chained Dollars
[Billions of chained (2012) dollars] Seasonally adjusted at annual rates
Date	Value
Jun 30, 2021	19.36 trillion
Mar 31, 2021	19.06 trillion
Dec 31, 2020	18.77 trillion
Sep 30, 2020	18.56 trillion
Jun 30, 2020	17.26 trillion
Mar 31, 2020	18.95 trillion
Dec 31, 2019	19.20 trillion
Sep 30, 2019	19.11 trillion
Jun 30, 2019	18.98 trillion
Mar 31, 2019	18.83 trillion
Dec 31, 2018	18.72 trillion
Sep 30, 2018	18.68 trillion
Jun 30, 2018	18.59 trillion
Mar 31, 2018	18.44 trillion
Dec 31, 2017	18.30 trillion
Sep 30, 2017	18.13 trillion
Jun 30, 2017	18.00 trillion
Mar 31, 2017	17.90 trillion
Dec 31, 2016	17.81 trillion
Sep 30, 2016	17.72 trillion
Jun 30, 2016	17.62 trillion
Mar 31, 2016	17.57 trillion
Dec 31, 2015	17.46 trillion
Sep 30, 2015	17.44 trillion
Jun 30, 2015	17.38 trillion
Mar 31, 2015	17.28 trillion
Dec 31, 2014	17.14 trillion
Sep 30, 2014	17.06 trillion
Jun 30, 2014	16.87 trillion
Mar 31, 2014	16.65 trillion
Dec 31, 2013	16.71 trillion
Sep 30, 2013	16.59 trillion
Jun 30, 2013	16.46 trillion
Mar 31, 2013	16.44 trillion
Dec 31, 2012	16.30 trillion
Sep 30, 2012	16.28 trillion
Jun 30, 2012	16.25 trillion
Mar 31, 2012	16.18 trillion
Dec 31, 2011	16.05 trillion
Sep 30, 2011	15.87 trillion
Jun 30, 2011	15.88 trillion
Mar 31, 2011	15.77 trillion
Dec 31, 2010	15.81 trillion
Sep 30, 2010	15.73 trillion
Jun 30, 2010	15.61 trillion
Mar 31, 2010	15.46 trillion
Dec 31, 2009	15.38 trillion
Sep 30, 2009	15.22 trillion
Jun 30, 2009	15.16 trillion
Mar 31, 2009	15.19 trillion
Dec 31, 2008	15.37 trillion
Sep 30, 2008	15.71 trillion
Jun 30, 2008	15.79 trillion
Mar 31, 2008	15.70 trillion
Dec 31, 2007	15.77 trillion
Sep 30, 2007	15.67 trillion
Jun 30, 2007	15.58 trillion
Mar 31, 2007	15.48 trillion
Dec 31, 2006	15.43 trillion
Sep 30, 2006	15.30 trillion
Jun 30, 2006	15.28 trillion
Mar 31, 2006	15.24 trillion
Dec 31, 2005	15.04 trillion
Sep 30, 2005	14.96 trillion
Jun 30, 2005	14.84 trillion
Mar 31, 2005	14.77 trillion
Dec 31, 2004	14.61 trillion
Sep 30, 2004	14.46 trillion
Jun 30, 2004	14.32 trillion
Mar 31, 2004	14.21 trillion
Dec 31, 2003	14.13 trillion
Sep 30, 2003	13.97 trillion
Jun 30, 2003	13.74 trillion
Mar 31, 2003	13.62 trillion
Dec 31, 2002	13.55 trillion
Sep 30, 2002	13.53 trillion
Jun 30, 2002	13.48 trillion
Mar 31, 2002	13.39 trillion
Dec 31, 2001	13.28 trillion
Sep 30, 2001	13.25 trillion
Jun 30, 2001	13.30 trillion
Mar 31, 2001	13.22 trillion
Dec 31, 2000	13.26 trillion
Sep 30, 2000	13.18 trillion
Jun 30, 2000	13.17 trillion
Mar 31, 2000	12.94 trillion
Dec 31, 1999	12.89 trillion
Sep 30, 1999	12.68 trillion
Jun 30, 1999	12.51 trillion
Mar 31, 1999	12.41 trillion
Dec 31, 1998	12.29 trillion
Sep 30, 1998	12.10 trillion
Jun 30, 1998	11.95 trillion
Mar 31, 1998	11.84 trillion
Dec 31, 1997	11.72 trillion
Sep 30, 1997	11.62 trillion
Jun 30, 1997	11.48 trillion
Mar 31, 1997	11.29 trillion
Dec 31, 1996	11.22 trillion
Sep 30, 1996	11.10 trillion
Jun 30, 1996	11.01 trillion
Mar 31, 1996	10.82 trillion
Dec 31, 1995	10.74 trillion
Sep 30, 1995	10.67 trillion
Jun 30, 1995	10.58 trillion
Mar 31, 1995	10.55 trillion
Dec 31, 1994	10.51 trillion
Sep 30, 1994	10.39 trillion
Jun 30, 1994	10.33 trillion
Mar 31, 1994	10.20 trillion
Dec 31, 1993	10.10 trillion
Sep 30, 1993	9.96 trillion
Jun 30, 1993	9.91 trillion
Mar 31, 1993	9.86 trillion
Dec 31, 1992	9.84 trillion
Sep 30, 1992	9.74 trillion
Jun 30, 1992	9.64 trillion
Mar 31, 1992	9.54 trillion
Dec 31, 1991	9.43 trillion
Sep 30, 1991	9.39 trillion
Jun 30, 1991	9.35 trillion
Mar 31, 1991	9.28 trillion
Dec 31, 1990	9.32 trillion
Sep 30, 1990	9.40 trillion
Jun 30, 1990	9.40 trillion
Mar 31, 1990	9.36 trillion
Dec 31, 1989	9.26 trillion
Sep 30, 1989	9.24 trillion
Jun 30, 1989	9.18 trillion
Mar 31, 1989	9.11 trillion
Dec 31, 1988	9.02 trillion
Sep 30, 1988	8.90 trillion
Jun 30, 1988	8.85 trillion
Mar 31, 1988	8.73 trillion
Dec 31, 1987	8.69 trillion
Sep 30, 1987	8.54 trillion
Jun 30, 1987	8.47 trillion
Mar 31, 1987	8.38 trillion
Dec 31, 1986	8.31 trillion
Sep 30, 1986	8.27 trillion
Jun 30, 1986	8.19 trillion
Mar 31, 1986	8.15 trillion
Dec 31, 1985	8.08 trillion
Sep 30, 1985	8.02 trillion
Jun 30, 1985	7.90 trillion
